GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,OPTAX.id,OPTAX.display-label,CONCENFI.id,CONCENFI.display-label,YEAR.id,ESTAB,RCPTOT,VAL_PCT,PAYANN,PAYQ1T,EMP
0100000US,,United States,8111183,"Electrical repair, motor vehicle",T,Establishments subject to federal income tax,820,20 largest firms,2002,40,93940,20.7,28953,6712,916
0100000US,,United States,8111183,"Electrical repair, motor vehicle",T,Establishments subject to federal income tax,850,50 largest firms,2002,73,143197,31.5,45310,10704,1424
0100000US,,United States,8111184,Radiator repair,A,All establishments,001,All firms,2002,1689,588538,100.0,145287,34270,6179
0100000US,,United States,8111184,Radiator repair,A,All establishments,804,4 largest firms,2002,28,23769,4.0,4508,1146,149
0100000US,,United States,8111184,Radiator repair,A,All establishments,808,8 largest firms,2002,34,38982,6.6,8837,2071,262
0100000US,,United States,8111184,Radiator repair,A,All establishments,820,20 largest firms,2002,51,73402,12.5,17159,3886,521
0100000US,,United States,8111184,Radiator repair,A,All establishments,850,50 largest firms,2002,91,126416,21.5,31887,7302,1009
0100000US,,United States,8111184,Radiator repair,T,Establishments subject to federal income tax,001,All firms,2002,1689,588538,100.0,145287,34270,6179
0100000US,,United States,8111184,Radiator repair,T,Establishments subject to federal income tax,804,4 largest firms,2002,28,23769,4.0,4508,1146,149
0100000US,,United States,8111184,Radiator repair,T,Establishments subject to federal income tax,808,8 largest firms,2002,34,38982,6.6,8837,2071,262
0100000US,,United States,8111184,Radiator repair,T,Establishments subject to federal income tax,820,20 largest firms,2002,51,73402,12.5,17159,3886,521
0100000US,,United States,8111184,Radiator repair,T,Establishments subject to federal income tax,850,50 largest firms,2002,91,126416,21.5,31887,7302,1009
0100000US,,United States,8111189,All other motor vehicle repair,A,All establishments,001,All firms,2002,417,180763,100.0,59395,14226,1973
0100000US,,United States,8111189,All other motor vehicle repair,A,All establishments,804,4 largest firms,2002,4,19449,10.8,5854,1420,140
0100000US,,United States,8111189,All other motor vehicle repair,A,All establishments,808,8 largest firms,2002,8,33219,18.4,10156,2445,252
0100000US,,United States,8111189,All other motor vehicle repair,A,All establishments,820,20 largest firms,2002,25,62104,34.4,17959,4455,460
0100000US,,United States,8111189,All other motor vehicle repair,A,All establishments,850,50 largest firms,2002,55,98663,54.6,29121,6972,801
0100000US,,United States,8111189,All other motor vehicle repair,T,Establishments subject to federal income tax,001,All firms,2002,417,180763,100.0,59395,14226,1973
0100000US,,United States,8111189,All other motor vehicle repair,T,Establishments subject to federal income tax,804,4 largest firms,2002,4,19449,10.8,5854,1420,140
0100000US,,United States,8111189,All other motor vehicle repair,T,Establishments subject to federal income tax,808,8 largest firms,2002,8,33219,18.4,10156,2445,252
0100000US,,United States,8111189,All other motor vehicle repair,T,Establishments subject to federal income tax,820,20 largest firms,2002,25,62104,34.4,17959,4455,460
0100000US,,United States,8111189,All other motor vehicle repair,T,Establishments subject to federal income tax,850,50 largest firms,2002,55,98663,54.6,29121,6972,801
0100000US,,United States,81112,"Automotive body, paint, interior, and glass repair",A,All establishments,001,All firms,2002,42170,26222660,100.0,7877279,1922686,253686
0100000US,,United States,81112,"Automotive body, paint, interior, and glass repair",A,All establishments,804,4 largest firms,2002,1474,1180392,4.5,310117,75774,8283
0100000US,,United States,81112,"Automotive body, paint, interior, and glass repair",A,All establishments,808,8 largest firms,2002,1621,1648881,6.3,485287,116660,11781
0100000US,,United States,81112,"Automotive body, paint, interior, and glass repair",A,All establishments,820,20 largest firms,2002,2178,2190282,8.4,624331,150362,15971
0100000US,,United States,81112,"Automotive body, paint, interior, and glass repair",A,All establishments,850,50 largest firms,2002,2435,2915618,11.1,836777,205001,21162
0100000US,,United States,81112,"Automotive body, paint, interior, and glass repair",T,Establishments subject to federal income tax,001,All firms,2002,42170,26222660,100.0,7877279,1922686,253686
0100000US,,United States,81112,"Automotive body, paint, interior, and glass repair",T,Establishments subject to federal income tax,804,4 largest firms,2002,1474,1180392,4.5,310117,75774,8283
0100000US,,United States,81112,"Automotive body, paint, interior, and glass repair",T,Establishments subject to federal income tax,808,8 largest firms,2002,1621,1648881,6.3,485287,116660,11781
0100000US,,United States,81112,"Automotive body, paint, interior, and glass repair",T,Establishments subject to federal income tax,820,20 largest firms,2002,2178,2190282,8.4,624331,150362,15971
0100000US,,United States,81112,"Automotive body, paint, interior, and glass repair",T,Establishments subject to federal income tax,850,50 largest firms,2002,2435,2915618,11.1,836777,205001,21162
0100000US,,United States,811121,"Automotive body, paint, and interior repair and maintenance",A,All establishments,001,All firms,2002,35220,22439676,100.0,6881667,1684538,220787
0100000US,,United States,811121,"Automotive body, paint, and interior repair and maintenance",A,All establishments,804,4 largest firms,2002,173,568676,2.5,205267,50016,4351
0100000US,,United States,811121,"Automotive body, paint, and interior repair and maintenance",A,All establishments,808,8 largest firms,2002,389,805913,3.6,274155,66519,6532
0100000US,,United States,811121,"Automotive body, paint, and interior repair and maintenance",A,All establishments,820,20 largest firms,2002,489,1203162,5.4,387840,94764,9402
0100000US,,United States,811121,"Automotive body, paint, and interior repair and maintenance",A,All establishments,850,50 largest firms,2002,607,1710994,7.6,540178,135644,12984
0100000US,,United States,811121,"Automotive body, paint, and interior repair and maintenance",T,Establishments subject to federal income tax,001,All firms,2002,35220,22439676,100.0,6881667,1684538,220787
0100000US,,United States,811121,"Automotive body, paint, and interior repair and maintenance",T,Establishments subject to federal income tax,804,4 largest firms,2002,173,568676,2.5,205267,50016,4351
0100000US,,United States,811121,"Automotive body, paint, and interior repair and maintenance",T,Establishments subject to federal income tax,808,8 largest firms,2002,389,805913,3.6,274155,66519,6532
0100000US,,United States,811121,"Automotive body, paint, and interior repair and maintenance",T,Establishments subject to federal income tax,820,20 largest firms,2002,489,1203162,5.4,387840,94764,9402
0100000US,,United States,811121,"Automotive body, paint, and interior repair and maintenance",T,Establishments subject to federal income tax,850,50 largest firms,2002,607,1710994,7.6,540178,135644,12984
0100000US,,United States,8111211,Paint or body repair,A,All establishments,001,All firms,2002,32892,21421274,100.0,6622237,1622257,210595
0100000US,,United States,8111211,Paint or body repair,A,All establishments,804,4 largest firms,2002,173,568676,2.7,205267,50016,4351
0100000US,,United States,8111211,Paint or body repair,A,All establishments,808,8 largest firms,2002,416,802126,3.7,280250,67937,6670
0100000US,,United States,8111211,Paint or body repair,A,All establishments,820,20 largest firms,2002,518,1181848,5.5,389046,95102,9442
0100000US,,United States,8111211,Paint or body repair,A,All establishments,850,50 largest firms,2002,607,1656665,7.7,531137,134057,12711
0100000US,,United States,8111211,Paint or body repair,T,Establishments subject to federal income tax,001,All firms,2002,32892,21421274,100.0,6622237,1622257,210595
0100000US,,United States,8111211,Paint or body repair,T,Establishments subject to federal income tax,804,4 largest firms,2002,173,568676,2.7,205267,50016,4351
0100000US,,United States,8111211,Paint or body repair,T,Establishments subject to federal income tax,808,8 largest firms,2002,416,802126,3.7,280250,67937,6670
0100000US,,United States,8111211,Paint or body repair,T,Establishments subject to federal income tax,820,20 largest firms,2002,518,1181848,5.5,389046,95102,9442
0100000US,,United States,8111211,Paint or body repair,T,Establishments subject to federal income tax,850,50 largest firms,2002,607,1656665,7.7,531137,134057,12711
0100000US,,United States,8111212,Van conversion services,A,All establishments,001,All firms,2002,457,520954,100.0,106264,26267,3575
0100000US,,United States,8111212,Van conversion services,A,All establishments,804,4 largest firms,2002,5,68955,13.2,14841,3711,431
0100000US,,United States,8111212,Van conversion services,A,All establishments,808,8 largest firms,2002,10,113930,21.9,23297,6483,615
0100000US,,United States,8111212,Van conversion services,A,All establishments,820,20 largest firms,2002,27,195886,37.6,37937,9711,1045
0100000US,,United States,8111212,Van conversion services,A,All establishments,850,50 largest firms,2002,57,304137,58.4,58180,14342,1709
0100000US,,United States,8111212,Van conversion services,T,Establishments subject to federal income tax,001,All firms,2002,457,520954,100.0,106264,26267,3575
0100000US,,United States,8111212,Van conversion services,T,Establishments subject to federal income tax,804,4 largest firms,2002,5,68955,13.2,14841,3711,431
0100000US,,United States,8111212,Van conversion services,T,Establishments subject to federal income tax,808,8 largest firms,2002,10,113930,21.9,23297,6483,615
0100000US,,United States,8111212,Van conversion services,T,Establishments subject to federal income tax,820,20 largest firms,2002,27,195886,37.6,37937,9711,1045
0100000US,,United States,8111212,Van conversion services,T,Establishments subject to federal income tax,850,50 largest firms,2002,57,304137,58.4,58180,14342,1709
0100000US,,United States,8111213,Upholstery and interior repair,A,All establishments,001,All firms,2002,1871,497448,100.0,153166,36014,6617
0100000US,,United States,8111213,Upholstery and interior repair,A,All establishments,804,4 largest firms,2002,5,42490,8.5,8667,2048,326
0100000US,,United States,8111213,Upholstery and interior repair,A,All establishments,808,8 largest firms,2002,10,56027,11.3,13426,3189,459
0100000US,,United States,8111213,Upholstery and interior repair,A,All establishments,820,20 largest firms,2002,25,83053,16.7,22078,5136,709
0100000US,,United States,8111213,Upholstery and interior repair,A,All establishments,850,50 largest firms,2002,61,126883,25.5,36884,8518,1170
0100000US,,United States,8111213,Upholstery and interior repair,T,Establishments subject to federal income tax,001,All firms,2002,1871,497448,100.0,153166,36014,6617
